# Record Forge II packing certificate
# {"claim_authority": "NONE", "manifest_sha256": "1df03fae1ab4a51eca9fbfeb2e39800b7a352a569e96d364b2d477f80735134f", "n": 700, "parent_certificate_sha256": "76bd4088dc984c1bcda9c33fdfc174968efb97c97cd4c19322426399bdbbecfa", "seed": 2026083001, "target_claim": "0.019903642845244116954587"}
# index x y claimed_radius
    1 -0.416216897116770567777166 -0.480096357143640017905994 0.019903642845244116954587
    2 0.411156033650146912616918 -0.480096357143640017905994 0.019903642845244116954587
    3 0.480096357143640017905994 -0.480096357143640017905994 0.019903642845244116954587
    4 -0.347268656064922576209852 -0.480096357143640017905994 0.019903642845244116954587
    5 -0.278320414961883921822761 -0.480096357143640017905994 0.019903642845244116954587
    6 -0.209372173624664842384036 -0.480096357143640017905994 0.019903642845244116954587
    7 -0.071475691163825780249930 -0.480096357143640017905994 0.019903642845244116954587
    8 -0.140423932501004794515254 -0.480096357143640017905994 0.019903642845244116954587
    9 -0.002527449799921934435465 -0.480096357143640017905994 0.019903642845244116954587
   10 0.273265515615018494965938 -0.480096357143640017905994 0.019903642845244116954587
   11 0.342213756980860039913495 -0.480096357143640017905994 0.019903642845244116954587
   12 0.135369032903341401929964 -0.480096357143640017905994 0.019903642845244116954587
   13 0.066420791553502209203508 -0.480096357143640017905994 0.019903642845244116954587
   14 0.204317274252520747479522 -0.480096357143640017905994 0.019903642845244116954587
   15 -0.479998705187398344573779 -0.479998706769266092475590 0.019903642845244116954587
   16 -0.105949811832415294321486 -0.460192714262457613916268 0.019903642845244116954587
   17 -0.037001570481873857776378 -0.460192714285601989221419 0.019903642845244116954587
   18 0.238791394933769635100518 -0.460192714284384296608010 0.019903642845244116954587
   19 0.031946670876790136950341 -0.460192714276526304573167 0.019903642845244116954587
   20 -0.243846294293274368225610 -0.460192714262492308385788 0.019903642845244116954587
   21 0.100894912228421812505630 -0.460192714273421676907105 0.019903642845244116954587
   22 -0.381742776590846544237934 -0.460192714015353721013213 0.019903642845244116954587
   23 -0.312794535513403249016307 -0.460192714059686147631822 0.019903642845244116954587
   24 0.169843153577931060826955 -0.460192714272850189605180 0.019903642845244116954587
   25 -0.174898053062834818449645 -0.460192714077544806627884 0.019903642845244116954587
   26 0.307739636297939267439716 -0.460192714287280091323140 0.019903642845244116954587
   27 0.376684895315503476265206 -0.460187549602052103914218 0.019903642845244116954587
   28 0.445626195396893465261456 -0.460185858783045353970209 0.019903642845244116954587
   29 -0.445622236460719245432216 -0.453264547404426842991398 0.019903642845244116954587
   30 -0.071475691150463371847934 -0.440289071404419585231693 0.019903642845244116954587
   31 -0.002527449805161787257934 -0.440289071418488331399743 0.019903642845244116954587
   32 -0.140423932394245304378089 -0.440289071196362347127007 0.019903642845244116954587
   33 -0.278320414844793695419156 -0.440289071178538438111616 0.019903642845244116954587
   34 0.066420791551709740252463 -0.440289071406307963574278 0.019903642845244116954587
   35 -0.347268656039327217044388 -0.440289070931399795227890 0.019903642845244116954587
   36 -0.209372173731444344291219 -0.440289071196397041596526 0.019903642845244116954587
   37 0.135369032903011471402621 -0.440289071402631848606291 0.019903642845244116954587
   38 0.204317274259179948447951 -0.440289071413594523818347 0.019903642845244116954587
   39 0.273265515616690379818721 -0.440289071428024370025156 0.019903642845244116954587
   40 0.342210774632582703791428 -0.440283906745692121820213 0.019903642845244116954587
   41 0.411155057062250028909745 -0.440277051241457439978433 0.019903642845244116954587
   42 0.480096357143640017905994 -0.440275360422450690034424 0.019903642845244116954587
   43 -0.480096357143640017905994 -0.433360904548066916408544 0.019903642845244116954587
   44 -0.411148115934795277404135 -0.433360904276140546098617 0.019903642845244116954587
   45 -0.037001570473751292655873 -0.420385428537305871898866 0.019903642845244116954587
   46 -0.105949811712293395782325 -0.420385428338324373953583 0.019903642845244116954587
   47 -0.174898053062854857975239 -0.420385428315214637606800 0.019903642845244116954587
   48 -0.312794535370717718958389 -0.420385428050252085707683 0.019903642845244116954587
   49 0.031946670869757803901123 -0.420385428548269934889703 0.019903642845244116954587
   50 -0.243846294282963699240341 -0.420385428112443171322354 0.019903642845244116954587
   51 0.100894912226299413027242 -0.420385428535518135273463 0.019903642845244116954587
   52 0.169843153584260359023617 -0.420385428543376127308306 0.019903642845244116954587
   53 0.238791394942100720921729 -0.420385428557234541724341 0.019903642845244116954587
   54 0.307736653951333816170433 -0.420380263886436400522228 0.019903642845244116954587
   55 0.376680936379329256435966 -0.420373408385097457884427 0.019903642845244116954587
   56 0.445625218808996581554283 -0.420366552880862776042648 0.019903642845244116954587
   57 -0.445622236617716049877913 -0.413457261419780564004611 0.019903642845244116954587
   58 -0.376673995383275950210589 -0.413457261192186620313294 0.019903642845244116954587
   59 -0.140423932380902921623900 -0.400481785457176608922225 0.019903642845244116954587
   60 -0.071475691035581323529158 -0.400481785471210660620756 0.019903642845244116954587
   61 -0.002527449798831699762092 -0.400481785667087530899977 0.019903642845244116954587
   62 -0.209372173614374185168785 -0.400481785231260767332628 0.019903642845244116954587
   63 -0.278320414808887695023998 -0.400481784984156818918422 0.019903642845244116954587
   64 0.066420791544347476675902 -0.400481785677480106588888 0.019903642845244116954587
   65 0.135369032907548286770449 -0.400481785676262413975479 0.019903642845244116954587
   66 0.204317274267181131497395 -0.400481785687016145214301 0.019903642845244116954587
   67 0.273262533276744157273441 -0.400476621015646572221414 0.019903642845244116954587
   68 0.342206815698080368814971 -0.400469765525841736586443 0.019903642845244116954587
   69 0.411151098126075864591655 -0.400462910024502793948642 0.019903642845244116954587
